# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACTA2	ENSECAG00000015145	ENSECAT00000038546	protein_coding	3	87	1	303	11	0	3	0	0	0	0	87	0	1	0	149	1	0	0	0	3	4	0	0	0	0	0	85	58
ACTC1	ENSECAG00000013022	ENSECAT00000013669	protein_coding	6	71	7	163	1	1	16	0	0	0	1	59	0	6	0	23	6	0	0	0	1	1	0	0	0	0	0	70	65
ACTC1	ENSECAG00000013022	ENSECAT00000035299	protein_coding	6	74	7	166	0	1	13	0	0	0	1	60	0	6	0	29	6	0	0	0	1	1	0	0	0	0	0	73	65
ACTN2	ENSECAG00000009009	ENSECAT00000011002	protein_coding	0	50	5	1033	0	0	0	0	0	0	0	56	0	0	0	893	5	0	0	0	0	7	0	0	0	0	0	44	90
ACTN2	ENSECAG00000009009	ENSECAT00000063817	protein_coding	0	51	5	1032	0	0	0	0	0	0	0	56	0	0	0	892	5	0	0	0	0	7	0	0	0	0	0	45	90
ACTR1A	ENSECAG00000024503	ENSECAT00000026471	protein_coding	7	77	1	411	0	2	4	0	0	1	0	174	0	1	0	177	1	0	0	2	4	6	0	0	0	0	0	70	67
ACTR1A	ENSECAG00000024503	ENSECAT00000032366	protein_coding	6	66	4	420	5	2	4	0	0	0	0	174	0	1	0	181	4	0	0	1	4	6	0	0	0	0	0	58	67
ACTR1A	ENSECAG00000024503	ENSECAT00000035665	protein_coding	5	69	1	414	0	2	4	0	0	1	0	182	0	1	0	169	1	0	0	2	2	5	0	0	0	0	0	63	67
ADAL	ENSECAG00000014340	ENSECAT00000015206	protein_coding	1	14	12	378	0	0	0	0	0	0	0	86	0	0	0	176	12	0	0	1	0	3	0	0	0	0	0	13	118
ADAL	ENSECAG00000014340	ENSECAT00000073299	protein_coding	1	14	12	378	0	0	0	0	0	0	0	86	0	0	0	176	12	0	0	1	0	3	0	0	0	0	0	13	118
ADAM10	ENSECAG00000007963	ENSECAT00000008550	protein_coding	6	80	20	1665	71	0	0	0	0	0	1	95	0	0	0	1434	19	0	0	1	4	9	0	0	1	0	0	73	75
ADAM10	ENSECAG00000007963	ENSECAT00000042447	protein_coding	1	7	1	1742	0	0	0	0	0	0	0	145	0	0	0	1525	1	0	0	0	1	2	0	0	0	0	0	5	75
ADAM10	ENSECAG00000007963	ENSECAT00000057403	protein_coding	6	80	20	1242	71	0	0	0	0	0	1	95	0	0	0	1012	19	0	0	1	4	9	0	0	1	0	0	73	74
ADAM10	ENSECAG00000007963	ENSECAT00000073900	protein_coding	0	0	1	161	0	0	0	0	0	0	0	80	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	75
ADAM10	ENSECAG00000007963	ENSECAT00000077198	protein_coding	0	2	1	1748	0	0	0	0	0	0	0	145	0	0	0	1528	1	0	0	0	0	0	0	0	0	0	0	2	75
ADAM12	ENSECAG00000012744	ENSECAT00000056609	protein_coding	0	37	25	4074	13	0	0	0	0	1	0	76	0	0	0	3884	24	0	0	0	0	2	0	0	0	0	0	35	103
ADAMTS14	ENSECAG00000014713	ENSECAT00000016035	protein_coding	2	30	34	1359	14	0	6	0	0	0	0	59	0	2	0	1238	34	0	0	0	0	3	0	0	0	0	0	28	43
ADAMTS17	ENSECAG00000000579	ENSECAT00000000726	protein_coding	1	27	7	4742	19	1	2	0	0	0	0	61	0	1	0	4573	7	0	0	0	0	7	0	0	0	0	0	19	94
ADAMTS17	ENSECAG00000000579	ENSECAT00000000777	protein_coding	1	27	7	4742	19	1	2	0	0	0	0	61	0	1	0	4573	7	0	0	0	0	7	0	0	0	0	0	19	94
ADAMTS7	ENSECAG00000007527	ENSECAT00000008144	protein_coding	2	41	31	782	21	0	0	1	0	0	0	125	0	1	0	638	30	0	0	0	0	4	0	0	1	1	0	39	0
ADAMTS7	ENSECAG00000007527	ENSECAT00000008283	protein_coding	2	41	31	725	21	0	0	1	0	0	0	125	0	1	0	562	30	0	0	0	0	4	0	0	1	1	0	39	19
ADAMTS7	ENSECAG00000007527	ENSECAT00000075484	protein_coding	1	15	12	834	18	0	0	0	0	0	4	96	0	0	0	702	8	0	0	0	0	1	0	0	1	0	0	14	19
ADAMTSL3	ENSECAG00000010184	ENSECAT00000010564	protein_coding	0	48	36	5007	0	0	0	0	0	0	0	138	0	0	0	4815	36	0	0	0	0	4	0	0	0	0	0	46	56
ADAMTSL3	ENSECAG00000010184	ENSECAT00000042262	protein_coding	0	48	36	5007	0	0	0	0	0	0	0	138	0	0	0	4815	36	0	0	0	0	4	0	0	0	0	0	46	56
ADAMTSL3	ENSECAG00000010184	ENSECAT00000054506	protein_coding	1	48	38	4982	1	0	0	0	0	0	0	140	0	1	0	4787	38	0	0	0	0	5	0	0	0	0	0	45	56
ADAMTSL3	ENSECAG00000010184	ENSECAT00000072484	protein_coding	0	48	36	5007	0	0	0	0	0	0	0	138	0	0	0	4815	36	0	0	0	0	4	0	0	0	0	0	46	56
ADCY4	ENSECAG00000013004	ENSECAT00000014276	protein_coding	5	31	17	390	0	0	0	0	0	0	0	139	0	2	0	207	17	0	0	0	0	12	0	0	3	0	0	23	52
ADD3	ENSECAG00000013629	ENSECAT00000015130	protein_coding	7	85	10	2406	0	1	19	0	0	0	0	226	0	4	0	2063	10	0	0	3	2	9	0	0	0	0	0	78	109
ADD3	ENSECAG00000013629	ENSECAT00000054501	protein_coding	7	85	12	2404	0	1	19	0	0	0	0	226	0	4	0	2061	12	0	0	3	2	9	0	0	0	0	0	78	109
ADGRA1	ENSECAG00000000065	ENSECAT00000000064	protein_coding	1	14	12	743	0	0	0	0	0	0	0	79	0	1	0	597	12	0	0	0	0	0	0	0	0	0	0	14	67
ADIRF	ENSECAG00000037793	ENSECAT00000030425	protein_coding	2	4	1	254	0	0	0	0	0	0	0	105	0	2	0	38	1	0	0	0	0	1	0	0	0	0	0	3	112
ADK	ENSECAG00000008160	ENSECAT00000008278	protein_coding	1	44	19	7852	0	0	2	0	0	0	0	95	0	1	0	7688	19	0	0	0	0	7	0	0	0	0	0	37	74
ADK	ENSECAG00000008160	ENSECAT00000032545	protein_coding	1	44	19	7226	0	0	0	0	0	0	0	95	0	1	0	7028	19	0	0	0	0	7	0	0	0	0	0	37	110
ADK	ENSECAG00000008160	ENSECAT00000055828	protein_coding	2	38	17	5824	0	0	0	0	0	0	0	95	0	2	0	5669	17	0	0	0	0	6	0	0	0	0	0	32	66
ADK	ENSECAG00000008160	ENSECAT00000066903	protein_coding	1	44	19	8444	0	0	0	0	0	0	0	95	0	1	0	8313	19	0	0	0	0	7	0	0	0	0	0	37	43
ADK	ENSECAG00000008160	ENSECAT00000067183	protein_coding	1	42	17	7856	0	0	2	0	0	0	0	95	0	1	0	7691	17	0	0	0	0	6	0	0	0	0	0	36	74
ADK	ENSECAG00000008160	ENSECAT00000078395	protein_coding	0	40	17	8451	0	0	0	0	0	0	0	95	0	0	0	8319	17	0	0	0	0	6	0	0	0	0	0	34	43
ADO	ENSECAG00000010803	ENSECAT00000011107	protein_coding	3	42	18	438	2	0	0	0	0	0	0	214	0	3	0	130	18	0	0	0	0	0	0	0	0	0	0	42	92
ADPGK	ENSECAG00000020480	ENSECAT00000021871	protein_coding	4	68	28	445	0	1	7	0	0	0	0	88	0	1	0	304	28	0	0	0	2	7	0	0	1	0	0	60	55
ADRA2A	ENSECAG00000003921	ENSECAT00000003783	protein_coding	2	7	7	97	0	0	0	0	0	0	0	44	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	7	53
ADRB1	ENSECAG00000036130	ENSECAT00000033214	protein_coding	0	10	13	122	0	0	0	0	1	0	0	69	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	53
AEN	ENSECAG00000037942	ENSECAT00000046799	protein_coding	8	53	27	202	0	0	1	0	0	0	0	83	0	8	0	65	27	0	0	0	0	1	0	0	0	0	0	52	54
AEN	ENSECAG00000037942	ENSECAT00000055742	protein_coding	10	59	38	428	33	0	5	0	1	0	0	49	0	10	0	286	37	0	0	0	0	1	0	0	0	0	0	58	56
AFAP1L2	ENSECAG00000014979	ENSECAT00000036152	protein_coding	3	46	39	1321	9	0	0	0	0	0	0	47	0	0	0	1200	39	0	0	0	2	1	0	0	1	0	0	45	68
AFAP1L2	ENSECAG00000014979	ENSECAT00000042080	protein_coding	3	46	39	557	9	0	0	0	0	0	0	47	0	0	0	465	39	0	0	0	2	1	0	0	1	0	0	45	39
AFAP1L2	ENSECAG00000014979	ENSECAT00000049486	protein_coding	3	48	38	891	0	0	0	0	0	0	0	62	0	1	0	769	38	0	0	0	2	1	0	0	0	0	0	47	63
AFAP1L2	ENSECAG00000014979	ENSECAT00000049754	protein_coding	2	44	27	1316	0	0	0	0	0	0	0	62	0	0	0	1189	27	0	0	0	2	1	0	0	0	0	0	43	68
AFAP1L2	ENSECAG00000014979	ENSECAT00000057960	protein_coding	3	46	30	670	0	0	0	0	0	0	0	69	0	1	0	565	30	0	0	0	2	1	0	0	0	0	0	45	39
AGBL1	ENSECAG00000007303	ENSECAT00000007402	protein_coding	2	30	22	9166	0	0	0	0	0	0	0	89	0	0	0	9015	22	0	0	1	1	7	0	0	0	0	0	26	68
AGBL1	ENSECAG00000007303	ENSECAT00000048744	protein_coding	3	32	22	9357	0	1	1	0	0	0	0	89	0	0	0	9220	22	0	0	2	1	8	0	0	0	0	0	26	54
AGBL1	ENSECAG00000007303	ENSECAT00000049611	protein_coding	3	32	22	9357	0	1	1	0	0	0	0	89	0	0	0	9220	22	0	0	2	1	8	0	0	0	0	0	26	54
AGT	ENSECAG00000015711	ENSECAT00000016618	protein_coding	0	17	15	117	0	0	0	0	0	0	0	35	0	0	0	48	15	0	0	0	0	1	0	0	0	0	0	16	35
AGT	ENSECAG00000015711	ENSECAT00000068324	protein_coding	1	12	15	704	0	0	0	0	0	0	0	44	0	1	0	631	15	0	0	0	0	0	0	0	0	0	0	12	29
AIFM2	ENSECAG00000004338	ENSECAT00000004866	protein_coding	2	38	24	259	0	0	0	0	1	0	0	68	0	2	0	115	23	0	0	0	0	4	0	0	0	0	0	35	79
AJUBA	ENSECAG00000009971	ENSECAT00000010342	protein_coding	2	29	7	268	8	0	0	0	0	1	0	61	0	2	0	94	6	0	0	0	0	5	0	0	0	0	0	26	108
AJUBA	ENSECAG00000009971	ENSECAT00000010356	protein_coding	2	29	7	268	8	0	0	0	0	1	0	61	0	2	0	94	6	0	0	0	0	5	0	0	0	0	0	26	108
AJUBA	ENSECAG00000009971	ENSECAT00000063285	protein_coding	1	29	7	254	0	0	0	0	0	1	0	54	0	1	0	95	6	0	0	0	0	4	0	0	0	0	0	26	108
AKAP13	ENSECAG00000009706	ENSECAT00000009990	protein_coding	13	200	134	4198	19	0	0	5	4	1	0	129	0	10	0	4001	124	0	0	4	2	14	0	0	3	0	0	193	60
AKAP13	ENSECAG00000009706	ENSECAT00000028921	protein_coding	15	206	139	4185	21	0	0	5	4	1	0	129	0	12	0	3987	129	0	0	4	2	15	0	0	3	0	0	198	60
AKAP13	ENSECAG00000009706	ENSECAT00000031238	protein_coding	12	192	130	4211	21	0	0	5	4	1	0	129	0	9	0	4013	120	0	0	4	2	14	0	0	2	0	0	184	60
AKAP13	ENSECAG00000009706	ENSECAT00000049641	protein_coding	15	205	139	4186	21	0	0	5	4	1	0	129	0	12	0	3987	129	0	0	4	2	14	0	0	3	0	0	198	60
AKAP13	ENSECAG00000009706	ENSECAT00000059565	protein_coding	15	206	139	4185	21	0	0	5	4	1	0	129	0	12	0	3987	129	0	0	4	2	15	0	0	3	0	0	198	60
AKAP13	ENSECAG00000009706	ENSECAT00000060509	protein_coding	12	202	123	3142	21	0	0	1	2	1	0	129	0	9	0	2953	119	0	0	4	2	15	0	0	1	0	0	194	51
AKAP13	ENSECAG00000009706	ENSECAT00000064067	protein_coding	15	205	139	4186	21	0	0	5	4	1	0	129	0	12	0	3987	129	0	0	4	2	14	0	0	3	0	0	198	60
AKAP6	ENSECAG00000019940	ENSECAT00000021183	protein_coding	6	83	56	8243	0	0	1	1	2	3	0	130	0	3	0	8053	50	0	0	1	0	3	0	0	2	0	0	82	61
AKAP6	ENSECAG00000019940	ENSECAT00000032184	protein_coding	6	84	54	8427	0	0	3	1	2	3	0	130	0	3	0	8248	48	0	0	1	0	2	0	0	2	0	0	84	47
AKAP6	ENSECAG00000019940	ENSECAT00000058071	protein_coding	6	79	55	8431	0	0	3	1	2	3	0	130	0	3	0	8253	49	0	0	1	0	3	0	0	2	0	0	78	47
AKAP6	ENSECAG00000019940	ENSECAT00000060642	protein_coding	6	86	57	8514	26	0	3	1	2	3	0	66	0	3	0	8375	51	0	0	1	0	4	0	0	2	0	0	84	47
ALDH18A1	ENSECAG00000016847	ENSECAT00000018393	protein_coding	6	124	5	1159	0	0	1	0	0	0	0	133	0	5	0	867	5	0	0	1	3	10	0	0	0	0	0	117	168
ALDH1A2	ENSECAG00000014750	ENSECAT00000016096	protein_coding	0	12	3	954	0	0	0	0	0	0	0	44	0	0	0	813	3	0	0	0	0	2	0	0	0	0	0	10	99
ALDH1A2	ENSECAG00000014750	ENSECAT00000061725	protein_coding	0	12	3	954	0	0	0	0	0	0	0	44	0	0	0	813	3	0	0	0	0	2	0	0	0	0	0	10	99
ALDH1A3	ENSECAG00000008871	ENSECAT00000009544	protein_coding	1	15	8	566	0	0	0	0	0	0	0	64	0	1	0	431	8	0	0	0	0	0	0	0	0	0	0	15	71
ALDH1A3	ENSECAG00000008871	ENSECAT00000039699	protein_coding	0	15	8	567	0	0	0	0	0	0	0	64	0	0	0	432	8	0	0	0	0	0	0	0	0	0	0	15	71
ALDH1A3	ENSECAG00000008871	ENSECAT00000057819	protein_coding	1	13	7	525	0	0	0	0	0	0	0	64	0	1	0	386	7	0	0	0	0	0	0	0	0	0	0	13	75
ALDH1A3	ENSECAG00000008871	ENSECAT00000074105	protein_coding	1	10	4	575	0	0	0	0	0	0	0	64	0	1	0	440	4	0	0	0	0	0	0	0	0	0	0	10	71
ALOX5	ENSECAG00000012930	ENSECAT00000013785	protein_coding	7	94	31	978	12	2	8	0	0	0	0	62	0	2	0	839	31	0	1	0	4	7	0	0	1	0	0	86	66
ALOX5	ENSECAG00000012930	ENSECAT00000030395	protein_coding	7	94	31	978	12	2	8	0	0	0	0	62	0	2	0	839	31	0	1	0	4	7	0	0	1	0	0	86	66
ALOX5	ENSECAG00000012930	ENSECAT00000044861	protein_coding	7	90	32	984	12	0	0	0	0	0	0	62	0	2	0	866	32	0	0	0	4	7	0	0	1	0	0	84	54
ALOX5	ENSECAG00000012930	ENSECAT00000078538	protein_coding	6	83	29	987	0	2	8	0	0	0	0	69	0	2	0	851	29	0	1	0	3	6	0	0	1	0	0	76	66
ANAPC16	ENSECAG00000002942	ENSECAT00000002783	protein_coding	2	10	0	290	0	0	0	0	0	0	0	115	0	2	0	81	0	0	0	0	0	2	0	0	0	1	0	10	94
ANAPC16	ENSECAG00000002942	ENSECAT00000069340	protein_coding	2	8	0	292	0	0	0	0	0	0	0	115	0	2	0	83	0	0	0	0	0	2	0	0	0	1	0	8	94
ANK3	ENSECAG00000009700	ENSECAT00000012209	protein_coding	2	57	15	3691	0	0	0	0	0	0	0	47	0	1	0	3555	15	0	0	0	0	8	1	0	0	0	0	50	96
ANK3	ENSECAG00000009700	ENSECAT00000012216	protein_coding	1	57	15	3694	0	0	0	0	0	0	0	47	0	1	0	3560	15	0	0	0	0	8	0	0	0	0	0	50	94
ANK3	ENSECAG00000009700	ENSECAT00000033078	protein_coding	1	56	12	2995	0	0	0	0	0	0	0	47	0	1	0	2739	12	0	0	0	0	7	0	0	0	0	0	50	215
ANK3	ENSECAG00000009700	ENSECAT00000040486	protein_coding	5	128	66	4968	0	0	0	1	1	6	1	47	0	3	0	4846	57	0	0	0	0	8	0	0	2	0	0	121	82
ANK3	ENSECAG00000009700	ENSECAT00000043411	protein_coding	2	57	16	3690	0	0	0	0	0	0	0	47	0	1	0	3554	16	0	0	0	0	8	1	0	0	0	0	50	96
ANK3	ENSECAG00000009700	ENSECAT00000046398	protein_coding	1	58	15	8404	0	0	0	0	0	0	0	47	0	1	0	8270	15	0	0	0	0	8	0	0	0	0	0	51	94
ANK3	ENSECAG00000009700	ENSECAT00000052181	protein_coding	1	57	15	5084	0	1	1	0	0	0	0	48	0	1	0	4960	15	0	0	0	0	8	0	0	0	0	0	49	82
